dep,1=的
lug,1=鲁
uvl,1=睡
bhm,1=棒
thx,1=唐
dph,1=顿
jpv,1=君
ldw,1=亮
gkp,1=告
xit,1=喜
hjf,1=韩
thd,1=糖
qtb,1=确
moc,1=莫
xdi,1=乡
xyd,1=兴
hem,1=核
huf,1=胡
ldc,1=辆
ynw,1=音
rsh,1=融
sac,1=萨
vus,1=助
fjc,1=范
ltt,1=略
hlz,1=孩
xdg,1=象
dyh,1=丁
gld,1=盖
yja,1=言
xui,1=续
jmd,1=减
zsb,1=宗
xxa,1=谢
loc,1=落
jwt,1=嘉
fux,1=府
xty,1=雪
vvp,1=追
jcy,1=脚
uin,1=始
vgd,1=郑
vis,1=止
jxs,1=届
ipi,1=纯
ths,1=堂
uws,1=刷
yyb,1=硬
mkp,1=毛
ysd,1=永
lvi,1=绿
grs,1=馆
srs,1=酸
myr,1=命
lzt,1=累
dlf,1=戴
jiu,1=济
dic,1=蒂
yuy,1=雨
bzw,1=备
hyt,1=坏
jns,1=尽
dgv,1=登
qiw,1=齐
ksf,1=控
mgc,1=蒙
cjs,1=餐
gwf,1=挂
gow,1=郭
big,1=笔
xwo,1=虾
fur,1=付
gvs,1=归
pya,1=评
zeu,1=泽
tcz,1=跳
nyb,1=宁
qiu,1=汽
vrb,1=赚
vaq,1=炸
dxz,1=跌
ceu,1=测
jxm,1=杰
lrp,1=乱
huh,1=互
mjl,1=曼
ugh,1=盛
paj,1=帕
chc,1=藏
gub,1=谷
dum,1=杜
ynp,1=印
ldd,1=良
fug,1=负
bmi,1=编
tyh,1=厅
xcw,1=效
xmh,1=咸
rrc,1=软
vwf,1=抓
ihk,1=唱
vuv,1=猪
vhw,1=章
lpr,1=伦
bor,1=伯
vdx,1=庄
drd,1=断
ldu,1=梁
ihh,1=厂
ssb,1=宋
ckc,1=草
svk,1=虽
hbh,1=厚
wze,1=委
ait,1=埃
yia,1=议
jmg,1=简
hvh,1=惠
wzv,1=卫
ujd,1=善
fgt,1=封
bkq,1=爆
nsd,1=农
dko,1=刀
xik,1=吸
jih,1=击
muv,1=母
uuw,1=熟
isw,1=充
tvx,1=退
ubr,1=售
lus,1=卢
xcj,1=销
ikf,1=朝
nsw,1=弄
aic,1=艾
qrd,1=券
zuw,1=族
mun,1=姆
xdk,1=响
kuk,1=哭
jig,1=急
mmg,1=免
uuc,1=输
qus,1=曲
lyx,1=灵
tsz,1=痛
qdf,1=抢
vii,1=纸
yew,1=夜
pku,1=泡
mlq,1=麦
qdt,1=墙
yjh,1=严
wfe,1=稳
gus,1=骨
upp,1=顺
rsc,1=荣
khf,1=抗
vos,1=桌
fgh,1=丰
vsj,1=钟
krb,1=宽
djv,1=蛋
yic,1=艺
dgq,1=灯
wzs,1=围
lyy,1=零
yul,1=遇
tvy,1=腿
ufl,1=申
xcl,1=晓
pif,1=批
vbg,1=粥
xdw,1=享
vef,1=折
vlr,1=债
djg,1=弹
luy,1=露
yeh,1=页
uve,1=税
bjv,1=般
lue,1=陆
het,1=赫
wus,1=屋
bzr,1=倍
diu,1=滴
spf,1=损
jyc,1=警
mab,1=码
duv,1=独
wju,1=湾
xup,1=须
nky,1=脑
kgt,1=坑
hbr,1=候
jyq,1=静
lid,1=礼
xiy,1=戏
kel,1=颗
luv,1=录
dju,1=淡
xiv,1=习
vaf,1=扎
nmr,1=念
qqe,1=秋
mhx,1=忙
vgz,1=症
qtp,1=缺
lns,1=临
lch,1=聊
hhv,1=航
tcf,1=挑
ceg,1=策
ubz,1=瘦
hvu,1=汇
vsi,1=终
fzc,1=菲
cvy,1=脆
kuc,1=苦
byp,1=兵
djp,1=丹
gbm,1=构
fuj,1=幅
kdd,1=况
lhd,1=朗
maw,1=玛
irv,1=船
hpu,1=混
ljq,1=烂
bys,1=饼
hwu,1=滑
vgg,1=争
blf,1=摆
klg,1=凯
lwr,1=俩
jyt,1=境
lse,1=隆
diw,1=帝
igv,1=承
mnp,1=敏
zlf,1=载
idx,1=床
jti,1=绝
jiw,1=剂
ubb,1=守
qmg,1=签
gdv,1=逛
jyh,1=井
wou,1=沃
yib,1=宜
dsw,1=冬
gjv,1=敢
yub,1=宇
nfn,1=嫩
hoy,1=霍
dya,1=订
gyx,1=怪
yut,1=域
iiu,1=池
jmj,1=键
zvk,1=嘴
pzr,1=佩
pze,1=陪
dvt,1=堆
uys,1=帅
yjv,1=验
mce,1=秒
mib,1=密
hsu,1=洪
tsm,1=桶
ivk,1=吹
nln,1=奶
xxc,1=鞋
nsu,1=浓
qid,1=启
xxh,1=协
kwz,1=跨
xsi,1=熊
max,1=麻
rog,1=弱
lmj,1=链
sjc,1=散
ncn,1=鸟
bks,1=饱
chr,1=仓
whl,1=旺
hus,1=虎
hrk,1=患
yhu,1=洋
vgc,1=蒸
tbe,1=透
duq,1=毒
igk,1=呈
jqh,1=救
hry,1=欢
cer,1=侧
dsc,1=董
tub,1=突
jqb,1=究
bip,1=币
moh,1=末
gvp,1=鬼
yie,1=移
rpu,1=润
pnf,1=拼
qnh,1=秦
sbf,1=搜
clm,1=材
jxh,1=皆
nif,1=拟
ksz,1=孔
xrb,1=宣
bof,1=播
cic,1=茨
mox,1=魔
zeq,1=责
pyd,1=瓶
xyn,1=姓
yyw,1=赢
yeu,1=液
pzt,1=培
ufb,1=审
ull,1=晒
ufc,1=甚
zue,1=租
toy,1=脱
zvs,1=罪
fgd,1=冯
fue,1=附
hyx,1=怀
yjg,1=岩
pfk,1=喷
vbu,1=洲
lzu,1=泪
xsh,1=雄
nan,1=娜
zkh,1=遭
yjp,1=延
qiv,1=骑
xxg,1=蟹
igp,1=乘
ihl,1=昌
jxn,1=姐
guh,1=顾
juh,1=聚
fjv,1=犯
vgr,1=征
gjc,1=甘
iku,1=潮
hsb,1=宏
pmv,1=骗
fzy,1=肥
jnu,1=津
hkw,1=豪
ckh,1=曹
tsw,1=童
qrp,1=泉
qcp,1=乔
wzt,1=胃
ysv,1=勇
kus,1=酷
dpk,1=吨
zfp,1=怎
pyr,1=凭
phy,1=胖
pys,1=屏
jyj,1=镜
nrl,1=暖
jws,1=贾
dsu,1=洞
tuu,1=涂
udh,1=爽
yne,1=阴
gjt,1=赶
nll,1=奈
vug,1=竹
tgz,1=疼
fbh,1=否
jpr,1=俊
pgy,1=朋
ibf,1=抽
zef,1=择
niy,1=腻
lvk,1=吕
lvr,1=律
ckf,1=操
dbd,1=斗
hgx,1=恒
sus,1=酥
dbh,1=豆
uiu,1=湿
zlr,1=仔
ghj,1=钢
gee,1=隔
kbf,1=扣
soj,1=锁
lic,1=莉
hlb,1=害
dhm,1=档
idb,1=窗
pju,1=潘
tyx,1=庭
qdm,1=枪
djf,1=担
kfs,1=肯
zis,1=紫
vdf,1=撞
ykk,1=咬
xix,1=席
lkc,1=劳
hpn,1=婚
yjq,1=炎
yal,1=鸭
caf,1=擦
wua,1=误
tyt,1=町
pgt,1=彭
gjy,1=肝
juz,1=距
igf,1=撑
ufs,1=肾
yjc,1=燕
tmu,1=添
uep,1=射
vum,1=柱
hjk,1=喊
waf,1=挖
mue,1=穆
iga,1=诚
lhu,1=浪
xsy,1=胸
kew,1=刻
saf,1=撒
irk,1=串
mos,1=默
eer,1=俄
bjf,1=搬
bmd,1=遍
dgy,1=邓
fjj,1=凡
uur,1=舒
uke,1=稍
xmr,1=仙
hku,1=浩
anl,1=暗
xda,1=详
lqm,1=柳
svb,1=碎
qsb,1=穷
yky,1=腰
yjw,1=颜
iaf,1=插
dpq,1=炖
cur,1=促
vuw,1=珠
ytx,1=悦
uer,1=舍
gbu,1=沟
xpx,1=寻
yyp,1=迎
muc,1=幕
puj,1=铺
hdp,1=皇
uki,1=绍
fhc,1=芳
ibv,1=丑
yrt,1=袁
jpc,1=菌
yhf,1=扬
iab,1=察
jiz,1=疾
vbc,1=轴
xnp,1=欣
zud,1=祖
pns,1=频
cih,1=刺
xus,1=虚
qmu,1=潜
zhy,1=脏
lmw,1=恋
our,1=偶
blm,1=柏
tih,1=替
ees,1=饿
csc,1=葱
vfy,1=震
dqp,1=丢
mof,1=摸
nlv,1=乃
jcr,1=焦
clv,1=猜
shy,1=桑
jxu,1=洁
iur,1=储
niu,1=泥
lyg,1=岭
aou,1=澳
ium,1=楚
jdc,1=蒋
jwh,1=夹
cud,1=粗
nun,1=努
hgm,1=横
bkl,1=暴
tjb,1=碳
sua,1=诉
pjd,1=判
wfi,1=纹
ysf,1=拥
pgb,1=碰
nkm,1=闹
lnw,1=琳
xim,1=析
blb,1=败
tbr,1=偷
bjr,1=伴
cvg,1=崔
eeh,1=恶
rki,1=绕
nlh,1=耐
sie,1=私
kps,1=困
xcs,1=肖
xyt,1=幸
moy,1=膜
pfb,1=盆
ykp,1=邀
tjf,1=探
gvc,1=轨
hjb,1=寒
mcx,1=庙
gwp,1=瓜
mzn,1=媒
ueu,1=涉
zap,1=杂
xct,1=孝
wjp,1=丸
tsj,1=铜
vua,1=诸
ilf,1=拆
ifl,1=晨
tke,1=陶
lcz,1=疗
ghg,1=岗
jwn,1=嫁
xux,1=序
gec,1=革
ikk,1=吵
xdd,1=祥
rju,1=染
yri,1=缘
viy,1=脂
tly,1=胎
vfw,1=珍
puu,1=浦
iso,1=虫
phw,1=旁
hup,1=乎
bis,1=避
cep,1=册
ffc,1=芬
ytm,1=阅
xij,1=锡
xwk,1=吓
kem,1=柯
tjt,1=坦
tuk,1=吐
ihy,1=肠
rfo,1=忍
fht,1=坊
kdv,1=狂
dhf,1=挡
yyv,1=盈
ubh,1=寿
jnm,1=禁
aiz,1=癌
fha,1=访
skf,1=扫
hel,1=贺
pap,1=爬
nin,1=妮
gjm,1=杆
ifu,1=沉
yhs,1=央
gek,1=咯
cus,1=醋
ueo,1=蛇
loi,1=络
fut,1=赴
bnw,1=斌
gvm,1=桂
vko,1=召
glj,1=钙
lhv,1=狼
whu,1=汪
hec,1=荷
vhs,1=掌
mgz,1=孟
huk,1=呼
kvh,1=亏
yip,1=疑
xdu,1=湘
zpd,1=尊
rgf,1=扔
dif,1=抵
nqi,1=纽
qnc,1=勤
ket,1=壳
qch,1=巧
uar,1=傻
xmm,1=闲
mlh,1=迈
fzx,1=废
lyd,1=凌
mkc,1=茂
vlb,1=宅
gut,1=鼓
xnj,1=鑫
jmu,1=渐
ofk,1=嗯
bnb,1=宾
lkf,1=捞
qig,1=崎
ykn,1=姚
zsi,1=综
tgy,1=腾
vfe,1=阵
pkf,1=抛
pum,1=朴
jyx,1=惊
lux,1=鹿
ahl,1=昂
mzq,1=煤
vjd,1=粘
pzb,1=赔
tkp,1=逃
jmx,1=尖
wof,1=握
tku,1=涛
iug,1=触
soi,1=缩
fgj,1=锋
ncs,1=尿
ksh,1=恐
jnv,1=劲
iit,1=赤
mxh,1=灭
xcc,1=萧
zjc,1=暂
aik,1=哎
ypv,1=孕
vim,1=植
kpl,1=昆
qrl,1=犬
zab,1=砸
zol,1=昨
kof,1=括
vuh,1=逐
typ,1=廷
jxe,1=阶
tht,1=塘
kdm,1=框
wur,1=伍
ljm,1=栏
fjq,1=烦
jyv,1=颈
pkq,1=炮
hsg,1=弘
hri,1=缓
tur,1=途
ndn,1=娘
xrc,1=轩
uuh,1=束
fuf,1=扶
clz,1=踩
tyw,1=亭
bfl,1=奔
thp,1=躺
dsm,1=栋
lyw,1=玲
jib,1=寄
wan,1=娃
biw,1=碧
did,1=弟
nxu,1=涅
cpc,1=寸
vhb,1=账
ytp,1=岳
dsd,1=冻
xmn,1=嫌
qry,1=劝
ypl,1=晕
dlk,1=呆
tkm,1=桃
ujp,1=删
ybi,1=幼
mgv,1=猛
src,1=蒜
dvd,1=兑
kdb,1=矿
lbu,1=漏
ang,1=岸
sew,1=瑟
tiz,1=踢
dxb,1=碟
wzg,1=危
cjh,1=残
lys,1=龄
duu,1=渡
pot,1=坡
bnu,1=滨
yeb,1=爷
mgl,1=盟
yrc,1=苑
uup,1=鼠
xmf,1=献
zjk,1=咱
fju,1=泛
rvj,1=锐
myk,1=鸣
iay,1=叉
uiv,1=驶
mkl,1=冒
gke,1=稿
cvr,1=催
gur,1=估
vju,1=沾
fuc,1=辅
pov,1=颇
gpu,1=滚
yhp,1=氧
sbv,1=艘
ljx,1=懒
mcc,1=苗
wzc,1=薇
fuu,1=浮
hut,1=壶
aoq,1=熬
ytl,1=曰
lsg,1=笼
yig,1=逸
dyl,1=鼎
fgw,1=逢
kjb,1=砍
hfx,1=恨
myj,1=铭
fas,1=罚
mcn,1=妙
wuy,1=雾
hhm,1=杭
xtc,1=薛
tgc,1=藤
yym,1=樱
wuu,1=污
dol,1=夺
tug,1=兔
yud,1=裕
mie,1=秘
vhe,1=障
jin,1=姬
yok,1=哟
fgz,1=疯
bay,1=霸
hvp,1=毁
dpw,1=敦
yix,1=怡
ujm,1=闪
hph,1=魂
xie,1=稀
hjv,1=函
vic,1=芝
mzs,1=酶
ils,1=柴
bim,1=闭
ifh,1=臣
qpd,1=裙
hvi,1=绘
mlt,1=埋
iub,1=础
vau,1=渣
wak,1=哇
doj,1=朵
lye,1=陵
juc,1=菊
fun,1=妇
uob,1=硕
pnh,1=聘
ynv,1=尹
djy,1=胆
tka,1=讨
ykf,1=摇
jmf,1=捡
xih,1=熙
sif,1=撕
fus,1=覆
vlf,1=摘
glm,1=概
uyf,1=摔
kjt,1=坎
qim,1=棋
ghi,1=纲
ief,1=扯
sub,1=宿
vgf,1=挣
lvj,1=铝
wob,1=窝
iuh,1=厨
hvf,1=挥
xpz,1=逊
pnb,1=贫
yik,1=遗
lnu,1=淋
qyl,1=晴
pua,1=谱
rjq,1=燃
ypw,1=韵
xwc,1=辖
dmf,1=垫
hgr,1=衡
hkh,1=耗
qqp,1=邱
zgb,1=赠
iis,1=齿
jci,1=缴
dpp,1=盾
hub,1=忽
cbd,1=凑
nid,1=逆
lcx,1=廖
anr,1=俺
zrj,1=钻
xrw,1=玄
gkd,1=糕
gsg,1=弓
dip,1=敌
tlf,1=抬
quv,1=驱
grx,1=惯
wza,1=谓
jmc,1=荐
rbv,1=柔
cvv,1=翠
xxr,1=斜
qml,1=牵
grp,1=罐
xdc,1=巷
taz,1=踏
dus,1=督
ibp,1=臭
geb,1=割
yun,1=娱
luq,1=炉
xxf,1=携
isg,1=崇
bos,1=卜
mup,1=牧
pcu,1=漂
lqz,1=瘤
eep,1=鹅
duy,1=肚
uyw,1=衰
vkp,1=兆
mmm,1=棉
lud,1=禄
zak,1=咋
hbv,1=猴
pyc,1=萍
qyp,1=卿
ibg,1=筹
ytz,1=跃
pgf,1=捧
dck,1=吊
kvl,1=奎
ypi,1=允
bkg,1=鲍
ufx,1=慎
cjx,1=惨
zlb,1=灾
fgi,1=缝
kud,1=裤
cof,1=措
pul,1=曝
sud,1=塑
hed,1=鹤
xpv,1=巡
ysu,1=涌
iov,1=戳
kpt,1=坤
gak,1=噶
xwy,1=霞
jyr,1=径
rre,1=阮
jcu,1=浇
svd,1=遂
lcv,1=辽
njm,1=楠
xsk,1=兄
wgb,1=翁
xnc,1=芯
lvs,1=虑
isb,1=宠
pou,1=婆
pih,1=匹
gvg,1=龟
fhr,1=仿
clf,1=裁
csh,1=聪
jcm,1=椒
xtb,1=穴
qcw,1=敲
uab,1=砂
tyn,1=婷
mhc,1=芒
kwl,1=夸
huv,1=狐
loo,1=螺
ghp,1=缸
lmq,1=炼
nea,1=讷
mly,1=脉
mba,1=谋
ljg,1=篮
pyt,1=坪
vfs,1=贞
veu,1=浙
bjt,1=坂
dbf,1=抖
ffi,1=纷
xrs,1=悬
byh,1=丙
hfv,1=狠
quu,1=渠
bzk,1=呗
uah,1=厦
xwr,1=侠
dxo,1=蝶
lzb,1=磊
ukb,1=勺
ier,1=彻
hso,1=虹
dcj,1=钓
sur,1=俗
dpz,1=蹲
sjr,1=伞
jng,1=筋
zzb,1=贼
vsy,1=肿
uyp,1=甩
guc,1=菇
jur,1=俱
gyf,1=拐
chv,1=舱
hgw,1=亨
qyr,1=倾
tph,1=吞
vbv,1=舟
muw,1=亩
rvs,1=睿
xmb,1=宪
vft,1=圳
fgm,1=枫
woh,1=卧
nhh,1=囊
qma,1=谦
bnm,1=彬
mkj,1=帽
yim,1=椅
uuu,1=淑
nod,1=糯
wfo,1=蚊
rec,1=惹
lmx,1=廉
vfa,1=诊
zbg,1=邹
ibe,1=愁
ziu,1=滋
ckm,1=槽
gun,1=姑
dcp,1=雕
dak,1=哒
wfk,1=吻
vjc,1=蘸
djl,1=旦
jrf,1=捐
phx,1=庞
qdy,1=腔
uru,1=涮
wub,1=勿
xwl,1=瞎
qwx,1=恰
lqb,1=硫
ruu,1=汝
xsc,1=凶
lnx,1=麟
guz,1=孤
dub,1=赌
dke,1=稻
xpk,1=勋
bat,1=坝
fgo,1=蜂
tkf,1=掏
nxf,1=捏
puf,1=扑
wfy,1=雯
qnj,1=钦
ybx,1=忧
ujw,1=珊
igm,1=橙
ifx,1=尘
lnr,1=邻
bir,1=彼
fzn,1=妃
ips,1=醇
far,1=伐
dhc,1=荡
xpr,1=循
nqf,1=扭
gru,1=灌
uko,1=邵
xnt,1=馨
qnr,1=侵
mhw,1=盲
tju,1=潭
yit,1=壹
qsw,1=琼
dxy,1=叠
cip,1=辞
